# Residuals        
# Time             	p                  	Ux                 	Uy                 	Uz                 	k                  	epsilon            
1                  	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00	9.999999999900e-01	1.742621023450e-01
2                  	1.520162706680e-01	2.487806955360e-01	3.428329195940e-01	3.024665276980e-01	3.981547139250e-01	2.701640940590e-02
3                  	3.689278025840e-02	3.929307684570e-01	3.636412296580e-01	2.967331844020e-01	3.695792892240e-01	2.007985339340e-02
4                  	7.814533491520e-02	1.712993225370e-01	2.054756113080e-01	1.650213855400e-01	2.767782624680e-01	1.308425931180e-02
5                  	1.379097706840e-01	6.655845333170e-02	1.363693810610e-01	9.519622440180e-02	1.473365018650e-01	7.848899298590e-03
6                  	6.313789125940e-02	2.125137381630e-01	1.521934232610e-01	1.433049572580e-01	8.538503667180e-02	7.553242401540e-03
7                  	9.688290390960e-02	1.370806504430e-01	2.003923573470e-01	1.921140483670e-01	5.941312227540e-02	8.739435206400e-03
8                  	1.442407195180e-01	5.928006925600e-02	2.104548112830e-01	1.378233331120e-01	5.079242607030e-02	1.002794246220e-02
9                  	7.181079004980e-02	1.070377010050e-01	1.346944116000e-01	1.051602481380e-01	5.671097919130e-02	1.182300417120e-02
10                 	1.019025787760e-01	5.694127979570e-02	1.186380711890e-01	1.309908394760e-01	5.163008663760e-02	1.187718373870e-02
11                 	1.575238946590e-01	3.288693922640e-02	1.095473063220e-01	9.268727361040e-02	3.781407796590e-02	9.546361791580e-03
12                 	8.193825540610e-02	5.930316021870e-02	7.208776803420e-02	5.017617149820e-02	2.842970072980e-02	7.674625673760e-03
13                 	1.157589979120e-01	3.572296362870e-02	8.309634888370e-02	8.875781227280e-02	2.399292224220e-02	6.710720151950e-03
14                 	1.846522105140e-01	2.247418282900e-02	9.301629530090e-02	8.737547829700e-02	2.209739899160e-02	6.461292295770e-03
15                 	8.954661011080e-02	3.345847953720e-02	6.107593146070e-02	5.167114641700e-02	2.174907805940e-02	6.706220115760e-03
16                 	1.201288255200e-01	1.929594127200e-02	5.442476394980e-02	7.264912474870e-02	1.963041967610e-02	6.438757883530e-03
17                 	2.147033241260e-01	1.384178501280e-02	5.491164796080e-02	6.910017008070e-02	1.624950690570e-02	5.561939881210e-03
18                 	1.060098763760e-01	1.836580672630e-02	3.877600593000e-02	3.478604008600e-02	1.414124910080e-02	4.750210668500e-03
19                 	1.466361176660e-01	1.126587761670e-02	4.147553353090e-02	3.808612731380e-02	1.296592533360e-02	4.255656490720e-03
20                 	2.069075558050e-01	9.392697879930e-03	4.352276654010e-02	4.662514236380e-02	1.212859601790e-02	4.010611155270e-03
21                 	1.116400966740e-01	1.137282931310e-02	3.229101326790e-02	3.406344480620e-02	1.126607673640e-02	3.848983920060e-03
22                 	1.311652939400e-01	7.212566712570e-03	2.859042391190e-02	3.382225724510e-02	1.015215099260e-02	3.611189001230e-03
23                 	2.724521640020e-01	6.104960626330e-03	2.710792451530e-02	3.883078799380e-02	9.067554640510e-03	3.291776578320e-03
24                 	1.363426985970e-01	6.729093514020e-03	2.264547270140e-02	2.595977475420e-02	8.455350793460e-03	3.000177654560e-03
25                 	1.588318538840e-01	4.859898844940e-03	2.312985933990e-02	1.819715956270e-02	8.053210707990e-03	2.768036435160e-03
26                 	1.871578551910e-01	4.423712825150e-03	2.241984604730e-02	2.322492366920e-02	7.694221273530e-03	2.589426240030e-03
27                 	1.150752295670e-01	4.676701108830e-03	1.850244633950e-02	2.170557054960e-02	7.316949927080e-03	2.433246842870e-03
28                 	1.136162475920e-01	3.406952874060e-03	1.735476318340e-02	1.882867698190e-02	6.923179384180e-03	2.272901660870e-03
29                 	1.861373953350e-01	3.065835976750e-03	1.592623154200e-02	1.927487550890e-02	6.647264391010e-03	2.112339980200e-03
30                 	1.476264243360e-01	3.160505561300e-03	1.396927808310e-02	1.625258845050e-02	6.528223579970e-03	1.965657869330e-03
31                 	1.400221968390e-01	2.717354451190e-03	1.379890349940e-02	1.113198764270e-02	6.438832909130e-03	1.831598540130e-03
32                 	1.300514577060e-01	2.549513960790e-03	1.333643597840e-02	1.229188309080e-02	6.330377067420e-03	1.709135449580e-03
33                 	9.545233373800e-02	2.448404971990e-03	1.154216917550e-02	1.338856830090e-02	6.221192446150e-03	1.598502217400e-03
34                 	8.229035155630e-02	2.005704458250e-03	1.116386262150e-02	1.230672390770e-02	6.135781294520e-03	1.496767227400e-03
35                 	9.265995431470e-02	1.867758177300e-03	1.047652378220e-02	1.090879753590e-02	6.092531761150e-03	1.403765323010e-03
36                 	1.029435369580e-01	1.934903324560e-03	9.485140324930e-03	9.178657274170e-03	6.092661673950e-03	1.319572642150e-03
37                 	9.082565805560e-02	1.923487614400e-03	9.208164574730e-03	7.203976085610e-03	6.111499538310e-03	1.252544858000e-03
38                 	7.921525543110e-02	1.840495108300e-03	9.048498321820e-03	7.641798041610e-03	6.119109614830e-03	1.191725637830e-03
39                 	6.792581958700e-02	1.705257951770e-03	8.255613284540e-03	8.877370493390e-03	6.115824562550e-03	1.137410037540e-03
40                 	5.659059370880e-02	1.521089183070e-03	7.976956164320e-03	8.793667689190e-03	6.110481498930e-03	1.088961550140e-03
41                 	5.532202726330e-02	1.461644839380e-03	7.739217019780e-03	7.795913892070e-03	6.114885131340e-03	1.045436753050e-03
42                 	5.773482340710e-02	1.545904374530e-03	7.231596250000e-03	6.216660066550e-03	6.131739739000e-03	1.007082752380e-03
43                 	5.485912575930e-02	1.614140537230e-03	7.005946476500e-03	5.092328080330e-03	6.156719833900e-03	9.745521777070e-04
