"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","Points:0","Points:1","Points:2"
2.03213e+01,2.32737e+00,-1.27761e+01,2.64053e-02,1.41912e+01,-9.90269e-01,-1.37354e+00,1,5.81968e+05,4.78599e+06,1.04109e+03
1.99995e+01,2.35090e+00,-1.12676e+01,2.58495e-02,1.41449e+01,-9.96486e-01,-1.33613e+00,1,5.81975e+05,4.78599e+06,1.03974e+03
2.04618e+01,2.37552e+00,-1.16880e+01,2.72095e-02,1.41574e+01,-9.79435e-01,-1.38090e+00,1,5.81976e+05,4.78598e+06,1.04103e+03
2.05843e+01,2.41038e+00,-1.22334e+01,2.71804e-02,1.42176e+01,-9.70271e-01,-1.40727e+00,1,5.81973e+05,4.78598e+06,1.04215e+03
2.11533e+01,2.40821e+00,-1.32868e+01,2.66182e-02,1.42963e+01,-9.59413e-01,-1.41765e+00,1,5.81967e+05,4.78598e+06,1.04301e+03
2.06335e+01,2.37142e+00,-1.35239e+01,2.61948e-02,1.42719e+01,-9.82551e-01,-1.40143e+00,1,5.81965e+05,4.78598e+06,1.04221e+03
2.25253e+01,2.49664e+00,-2.42693e+01,3.00524e-02,1.61398e+01,-7.04309e-02,2.00467e+00,1,5.81676e+05,4.78564e+06,1.09741e+03
2.33703e+01,2.50713e+00,-2.50046e+01,2.76333e-02,1.62372e+01,-1.25219e-02,1.88509e+00,1,5.81679e+05,4.78564e+06,1.10004e+03
2.40220e+01,2.50085e+00,-2.58184e+01,2.69456e-02,1.62886e+01,-1.41296e-03,1.79166e+00,1,5.81684e+05,4.78564e+06,1.10182e+03
2.33663e+01,2.48882e+00,-2.57756e+01,2.72056e-02,1.62646e+01,-4.38062e-02,1.80104e+00,1,5.81686e+05,4.78563e+06,1.10084e+03
2.18757e+01,2.48019e+00,-2.38991e+01,3.14986e-02,1.60718e+01,-1.34968e-01,2.05594e+00,1,5.81676e+05,4.78563e+06,1.09555e+03
3.43515e+01,2.62401e+00,-1.53821e+01,2.04108e-02,1.58342e+01,3.05039e-01,2.22300e+00,1,5.81612e+05,4.78575e+06,1.09690e+03
